          Chi2  &     Mean &Sigma Mean&   Error  & Sigma Error  
 18.7304 &  -0.0005 &   0.0040 &   0.0039 &   0.0000 \\ 
 18.7304 &   0.0002 &   0.0037 &   0.0039 &   0.0000 \\ 
 18.7304 &   0.0004 &   0.0040 &   0.0039 &   0.0000 \\ 
Bin Number:.............................    24 
 19.5214 &   0.0002 &   0.0026 &   0.0022 &   0.0000 \\ 
 19.5214 &  -0.0002 &   0.0023 &   0.0022 &   0.0000 \\ 
 19.5214 &   0.0005 &   0.0022 &   0.0022 &   0.0000 \\ 
 19.5214 &   0.0000 &   0.0021 &   0.0022 &   0.0000 \\ 
 18.8302 &  -0.0001 &   0.0025 &   0.0023 &   0.0000 \\ 
 18.8302 &  -0.0009 &   0.0021 &   0.0023 &   0.0000 \\ 
 18.8302 &  -0.0000 &   0.0022 &   0.0023 &   0.0000 \\ 
 18.8302 &  -0.0002 &   0.0022 &   0.0023 &   0.0000 \\ 
 19.0141 &   0.0003 &   0.0044 &   0.0039 &   0.0000 \\ 
 19.0141 &   0.0001 &   0.0032 &   0.0039 &   0.0000 \\ 
 19.0141 &  -0.0004 &   0.0037 &   0.0039 &   0.0000 \\ 
 19.0141 &   0.0001 &   0.0038 &   0.0039 &   0.0000 \\ 
Bin Number:.............................    25 
 19.1423 &   0.0002 &   0.0022 &   0.0022 &   0.0000 \\ 
 19.1423 &  -0.0002 &   0.0023 &   0.0022 &   0.0000 \\ 
 19.1423 &  -0.0002 &   0.0024 &   0.0022 &   0.0000 \\ 
 19.1423 &  -0.0001 &   0.0022 &   0.0022 &   0.0000 \\ 
 20.2486 &   0.0003 &   0.0024 &   0.0023 &   0.0000 \\ 
 20.2486 &  -0.0000 &   0.0025 &   0.0023 &   0.0000 \\ 
 20.2486 &   0.0003 &   0.0021 &   0.0023 &   0.0000 \\ 
 20.2486 &  -0.0001 &   0.0023 &   0.0023 &   0.0000 \\ 
 21.0517 &  -0.0002 &   0.0040 &   0.0039 &   0.0000 \\ 
 21.0517 &   0.0000 &   0.0037 &   0.0039 &   0.0000 \\ 
 21.0517 &  -0.0005 &   0.0039 &   0.0039 &   0.0000 \\ 
 21.0517 &  -0.0001 &   0.0044 &   0.0039 &   0.0000 \\ 
Bin Number:.............................    26 
 21.4561 &  -0.0004 &   0.0021 &   0.0022 &   0.0000 \\ 
 21.4561 &  -0.0003 &   0.0020 &   0.0022 &   0.0000 \\ 
 21.4561 &   0.0000 &   0.0023 &   0.0022 &   0.0000 \\ 
 21.4561 &  -0.0001 &   0.0021 &   0.0022 &   0.0000 \\ 
 20.8126 &   0.0000 &   0.0023 &   0.0023 &   0.0000 \\ 
 20.8126 &   0.0001 &   0.0021 &   0.0023 &   0.0000 \\ 
 20.8126 &   0.0001 &   0.0022 &   0.0023 &   0.0000 \\ 
 20.8126 &  -0.0000 &   0.0022 &   0.0023 &   0.0000 \\ 
 21.6290 &  -0.0003 &   0.0037 &   0.0039 &   0.0000 \\ 
 21.6290 &   0.0001 &   0.0043 &   0.0039 &   0.0000 \\ 
 21.6290 &  -0.0003 &   0.0038 &   0.0039 &   0.0000 \\ 
 21.6290 &  -0.0001 &   0.0038 &   0.0039 &   0.0000 \\ 
Bin Number:.............................    27 
 22.1148 &   0.0002 &   0.0023 &   0.0022 &   0.0000 \\ 
 22.1148 &  -0.0001 &   0.0017 &   0.0022 &   0.0000 \\ 
 22.1148 &   0.0006 &   0.0021 &   0.0022 &   0.0000 \\ 
 22.1148 &  -0.0004 &   0.0022 &   0.0022 &   0.0000 \\ 
 21.4818 &   0.0001 &   0.0021 &   0.0022 &   0.0000 \\ 
 21.4818 &  -0.0001 &   0.0024 &   0.0022 &   0.0000 \\ 
 21.4818 &  -0.0002 &   0.0021 &   0.0022 &   0.0000 \\ 
 21.4818 &   0.0004 &   0.0021 &   0.0022 &   0.0000 \\ 
 22.8854 &   0.0007 &   0.0035 &   0.0039 &   0.0000 \\ 
 22.8854 &   0.0002 &   0.0038 &   0.0039 &   0.0000 \\ 
 22.8854 &   0.0000 &   0.0039 &   0.0039 &   0.0000 \\ 
 22.8854 &  -0.0004 &   0.0047 &   0.0039 &   0.0000 \\ 
Bin Number:.............................    28 
 23.6407 &  -0.0001 &   0.0021 &   0.0022 &   0.0000 \\ 
 23.6407 &   0.0002 &   0.0021 &   0.0022 &   0.0000 \\ 
 23.6407 &   0.0001 &   0.0022 &   0.0022 &   0.0000 \\ 
 23.6407 &   0.0001 &   0.0019 &   0.0022 &   0.0000 \\ 
 22.3725 &   0.0001 &   0.0022 &   0.0022 &   0.0000 \\ 
 22.3725 &   0.0000 &   0.0022 &   0.0022 &   0.0000 \\ 
 22.3725 &  -0.0000 &   0.0022 &   0.0022 &   0.0000 \\ 
 22.3725 &   0.0003 &   0.0023 &   0.0022 &   0.0000 \\ 
 21.9290 &   0.0001 &   0.0043 &   0.0039 &   0.0000 \\ 
 21.9290 &   0.0001 &   0.0036 &   0.0039 &   0.0000 \\ 
 21.9290 &  -0.0007 &   0.0041 &   0.0039 &   0.0000 \\ 
 21.9290 &  -0.0004 &   0.0040 &   0.0039 &   0.0000 \\ 
Bin Number:.............................    29 
 24.3134 &   0.0004 &   0.0021 &   0.0021 &   0.0000 \\ 
 24.3134 &   0.0001 &   0.0019 &   0.0021 &   0.0000 \\ 
 24.3134 &  -0.0000 &   0.0021 &   0.0021 &   0.0000 \\ 
 24.3134 &  -0.0005 &   0.0019 &   0.0021 &   0.0000 \\ 
 23.4806 &   0.0000 &   0.0021 &   0.0022 &   0.0000 \\ 
 23.4806 &   0.0005 &   0.0024 &   0.0022 &   0.0000 \\ 
 23.4806 &  -0.0001 &   0.0024 &   0.0022 &   0.0000 \\ 
 23.4806 &  -0.0002 &   0.0022 &   0.0022 &   0.0000 \\ 
 23.5248 &   0.0007 &   0.0038 &   0.0039 &   0.0000 \\ 
 23.5248 &  -0.0001 &   0.0039 &   0.0039 &   0.0000 \\ 
 23.5248 &   0.0003 &   0.0037 &   0.0039 &   0.0000 \\ 
 23.5248 &  -0.0001 &   0.0043 &   0.0039 &   0.0000 \\ 
Bin Number:.............................    30 
 24.7641 &   0.0001 &   0.0022 &   0.0021 &   0.0000 \\ 
 24.7641 &   0.0002 &   0.0020 &   0.0021 &   0.0000 \\ 
 24.7641 &   0.0003 &   0.0022 &   0.0021 &   0.0000 \\ 
 24.7641 &   0.0001 &   0.0021 &   0.0021 &   0.0000 \\ 
 24.4192 &   0.0003 &   0.0021 &   0.0022 &   0.0000 \\ 
 24.4192 &   0.0000 &   0.0022 &   0.0022 &   0.0000 \\ 
 24.4192 &   0.0001 &   0.0020 &   0.0022 &   0.0000 \\ 
 24.4192 &   0.0003 &   0.0020 &   0.0022 &   0.0000 \\ 
 24.9673 &  -0.0002 &   0.0038 &   0.0039 &   0.0000 \\ 
 24.9673 &   0.0004 &   0.0039 &   0.0039 &   0.0000 \\ 
 24.9673 &  -0.0007 &   0.0037 &   0.0039 &   0.0000 \\ 
 24.9673 &  -0.0001 &   0.0038 &   0.0039 &   0.0000 \\ 
Bin Number:.............................    31 
 26.2821 &   0.0000 &   0.0020 &   0.0021 &   0.0000 \\ 
